H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.055296,280,0.75,1,25,26,4
0,0.0625,230,0.75,1,26,21,4
0,0.0625,250,1,1,26,23,5
0,0.0625,270,0.75,1,26,25,4
0,0.0625,270,1,1,26,25,5
0,0.070304,240,1,1,27,22,5
0,0.070304,250,0.75,1,27,23,4
0,0.070304,260,1,1,27,24,5
0,0.078732,220,1,1,28,20,5
0,0.078732,230,1,1,28,21,5
0,0.078732,240,1,1,28,22,5
0,0.078732,260,0.75,1,28,24,4
0,0.087808,200,1,1,29,18,5
0,0.087808,210,0.5,1,29,19,3
0,0.087808,210,0.75,1,29,19,4
0,0.087808,220,0.75,1,29,20,4
0,0.097556,200,0.75,1,30,18,4
0,0.097556,200,1,1,30,18,5
0,0.097556,210,1,1,30,19,5
0,0.097556,220,0.75,1,30,20,4
0,0.108,190,0.5,1,31,17,3
0,0.108,200,0.5,1,31,18,3
0,0.108,220,0.75,1,31,20,4
0,0.119164,170,0.75,1,32,15,4
0,0.119164,170,1,1,32,15,5
0,0.119164,210,0.5,1,32,19,3
0,0.119164,210,0.75,1,32,19,4
0,0.119164,220,0.5,1,32,20,3
0,0.131072,190,1,1,33,17,5
0,0.131072,200,0.75,1,33,18,4
0,0.131072,200,1,1,33,18,5
0,0.131072,210,0.5,1,33,19,3
0,0.131072,210,0.75,1,33,19,4
0,0.131072,230,0.5,1,33,21,3
0,0.143748,170,1,1,34,15,5
0,0.143748,190,0.75,1,34,17,4
0,0.157216,140,1,1,35,12,5
0,0.157216,170,0.75,1,35,15,4
0,0.157216,170,1,1,35,15,5
0,0.157216,180,0.75,1,35,16,4
0,0.157216,200,0.75,1,35,18,4
0,0.157216,210,0.75,1,35,19,4
0,0.157216,230,0.75,1,35,21,4
0,0.157216,240,0.75,1,35,22,4
0,0.157216,250,0.5,1,35,23,3
0,0.1715,150,1,1,36,13,5
0,0.1715,160,0.75,1,36,14,4
0,0.1715,160,1,1,36,14,5
0,0.1715,170,0.75,1,36,15,4
0,0.1715,180,0.75,1,36,16,4
0,0.1715,190,0.5,1,36,17,3
0,0.1715,190,0.75,1,36,17,4
0,0.1715,210,0.5,1,36,19,3
0,0.1715,210,0.75,1,36,19,4
0,0.1715,220,0.5,1,36,20,3
0,0.1715,240,0.5,1,36,22,3
0,0.1715,280,0.75,1,36,26,4
0,0.186624,140,0.75,1,37,12,4
0,0.186624,140,1,1,37,12,5
0,0.186624,150,0.75,1,37,13,4
0,0.186624,160,0.75,1,37,14,4
0,0.186624,160,1,1,37,14,5
0,0.186624,170,0.5,1,37,15,3
0,0.186624,170,0.75,1,37,15,4
0,0.186624,180,0.75,1,37,16,4
0,0.186624,190,0.75,1,37,17,4
0,0.186624,190,1,1,37,17,5
0,0.186624,200,0.5,1,37,18,3
0,0.186624,220,0.5,1,37,20,3
0,0.186624,230,0.75,1,37,21,4
0,0.186624,250,0.5,1,37,23,3
0,0.186624,260,0.5,1,37,24,3
0,0.202612,150,0.5,1,38,13,3
0,0.202612,150,0.75,1,38,13,4
0,0.202612,160,0.75,1,38,14,4
0,0.202612,170,0.5,1,38,15,3
0,0.202612,170,0.75,1,38,15,4
0,0.202612,180,0.75,1,38,16,4
0,0.202612,210,0.75,1,38,19,4
0,0.202612,230,0.5,1,38,21,3
