H,M,E,B,HSubs,MSubs,ESubs,BSubs
0,0.016384,0.21,1,1,17,19,5
0,0.027436,0.18,1,1,20,16,5
0,0.027436,0.19,1,1,20,17,5
0,0.037044,0.18,1,1,22,16,5
0,0.037044,0.19,1,1,22,17,5
0,0.037044,0.2,1,1,22,18,5
0,0.048668,0.16,1,1,24,14,5
0,0.048668,0.17,1,1,24,15,5
0,0.048668,0.18,1,1,24,16,5
0,0.048668,0.19,1,1,24,17,5
0,0.048668,0.21,0.75,1,24,19,4
0,0.055296,0.15,1,1,25,13,5
0,0.055296,0.16,1,1,25,14,5
0,0.055296,0.17,0.75,1,25,15,4
0,0.055296,0.17,1,1,25,15,5
0,0.055296,0.18,1,1,25,16,5
0,0.055296,0.19,0.75,1,25,17,4
0,0.055296,0.19,1,1,25,17,5
0,0.055296,0.2,0.75,1,25,18,4
0,0.070304,0.14,1,1,27,12,5
0,0.070304,0.15,1,1,27,13,5
0,0.070304,0.16,0.75,1,27,14,4
0,0.070304,0.16,1,1,27,14,5
0,0.070304,0.17,0.75,1,27,15,4
0,0.070304,0.17,1,1,27,15,5
0,0.070304,0.18,0.75,1,27,16,4
0,0.070304,0.18,1,1,27,16,5
0,0.070304,0.19,1,1,27,17,5
0,0.070304,0.2,1,1,27,18,5
0,0.070304,0.21,0.5,1,27,19,3
0,0.078732,0.13,1,1,28,11,5
0,0.078732,0.14,0.75,1,28,12,4
0,0.078732,0.14,1,1,28,12,5
0,0.078732,0.15,0.75,1,28,13,4
0,0.078732,0.15,1,1,28,13,5
0,0.078732,0.16,0.75,1,28,14,4
0,0.078732,0.16,1,1,28,14,5
0,0.078732,0.17,0.75,1,28,15,4
0,0.078732,0.17,1,1,28,15,5
0,0.078732,0.18,0.75,1,28,16,4
0,0.078732,0.18,1,1,28,16,5
0,0.078732,0.19,0.75,1,28,17,4
0,0.078732,0.19,1,1,28,17,5
0,0.078732,0.2,0.75,1,28,18,4
0,0.097556,0.12,1,1,30,10,5
0,0.097556,0.13,1,1,30,11,5
0,0.097556,0.14,0.75,1,30,12,4
0,0.097556,0.14,1,1,30,12,5
0,0.097556,0.15,0.75,1,30,13,4
0,0.097556,0.15,1,1,30,13,5
0,0.097556,0.16,0.5,1,30,14,3
0,0.097556,0.16,0.75,1,30,14,4
0,0.097556,0.16,1,1,30,14,5
0,0.097556,0.17,0.75,1,30,15,4
0,0.097556,0.17,1,1,30,15,5
0,0.097556,0.18,0.5,1,30,16,3
0,0.097556,0.18,0.75,1,30,16,4
0,0.097556,0.18,1,1,30,16,5
0,0.097556,0.19,0.75,1,30,17,4
0,0.097556,0.19,1,1,30,17,5
0,0.097556,0.2,0.5,1,30,18,3
0,0.097556,0.2,0.75,1,30,18,4
0,0.108,0.11,1,1,31,9,5
0,0.108,0.12,1,1,31,10,5
0,0.108,0.13,0.75,1,31,11,4
0,0.108,0.13,1,1,31,11,5
0,0.108,0.14,0.75,1,31,12,4
0,0.108,0.14,1,1,31,12,5
0,0.108,0.15,0.5,1,31,13,3
0,0.108,0.15,0.75,1,31,13,4
0,0.108,0.15,1,1,31,13,5
0,0.108,0.16,0.5,1,31,14,3
0,0.108,0.16,0.75,1,31,14,4
0,0.108,0.16,1,1,31,14,5
0,0.108,0.17,0.5,1,31,15,3
0,0.108,0.17,0.75,1,31,15,4
0,0.108,0.17,1,1,31,15,5
0,0.108,0.18,0.5,1,31,16,3
0,0.108,0.18,0.75,1,31,16,4
0,0.108,0.18,1,1,31,16,5
0,0.108,0.19,0.5,1,31,17,3
0,0.108,0.19,0.75,1,31,17,4
0,0.108,0.2,0.75,1,31,18,4
0,0.131072,0.1,1,1,33,8,5
0,0.131072,0.11,1,1,33,9,5
0,0.131072,0.12,0.75,1,33,10,4
0,0.131072,0.12,1,1,33,10,5
0,0.131072,0.13,0.75,1,33,11,4
0,0.131072,0.13,1,1,33,11,5
0,0.131072,0.14,0.5,1,33,12,3
0,0.131072,0.14,0.75,1,33,12,4
0,0.131072,0.14,1,1,33,12,5
